No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
702,"shrink, to",*ʰrotD,hotDS1,hutDS1,hotDS1,hotDS1,,,rutDS1,
703,"disappear, to",*ʰrwɤ:jA,ha:jA1,,,,,,rɯəjA1,rɤ:jA1
704,"die, to",*p.ta:jA,ta:jA1,ta:jA1,pʰa:jA1,tʰa:jA1,ha:jA1,tʰa:jA1,ta:jA1,pra:jA1
705,"kill, to",*qa:C,kʰa:C1,xa:C1,kʰa:C1,kʰa:C1,kʰa:C1,ka:C1,kaC1,ka:C1
706,"expose to the sun, to",*p.ra:kD,ta:kDL1,taʔDL1,pʰja:kDL1,tʰa:kDL1,pʰja:kDL1,tʰa:kDL1,ta:kDL1,pra:kDL1
707,"hang up, to",*qwe:nA,kʰwɛ:nA1,xwenA1,kʰɛ:nA1 -i,kʰwɛnA1,,,venA1,ve:nA1
708,"hang down, to",*ho:jC,hɔjC1,,hɔ:jC1,hɔjC1,,,,
709,"smear, to",*da:A,tʰa:A2,,,d̤a:A2,ta:A2,,,tʰa:A2
710,"lay (a cloth, etc.) across, to",*ba:tD,pʰa:tDL2,,pa:tDL2,b̤a:tDL2,,,pa:tDL2,
711,"drive away, to",*k.rapD,kʰapDS1,sapDS1,sapDS1,,,,,
712,"chase, to",*lajB,lajB2,lajB2,lɤjB2,,lajB2,,lajB2,lajB2
713,"be finished, to",*le:wC,lɛ:wC2,,lɛ:wC2,lɛwC2,,lewC1 -t,lewC2,
714,to commission,*ʑaɰC,cʰajC2,,,,caɰC2,,θaɰC2,
715,"entrust, to",*ʰwa:kD,fa:kDL1,faʔDL1,pʰa:kDL1,pʰa:kDL1,pʰa:kDL1,,,
,I. Miscellaneous,,,,,,,,,
716,1s pronoun (weak),*ku:A,ku:A1,kuA1,,,,kawA1,kuA1,ku:A1
717,1s pronoun (strong),*kawA,,,kɤwA1,kɤwA1,kawA1,,kuA1,ku:A1
718,2s pronoun (weak),*mɯŋA,mɯŋA2,mɯŋA2,,,,maŋA1 -t,mɯŋA2,mɯŋA2
719,2s pronoun (strong),*maɰA,,,mɤɰA2,,maɰA2,,,
720,3s pronoun (weak),*mɯnA,,minA2,,,mɤnA2,manA1 -t,,
721,3s pronoun (strong),*manA,manA2,,manA2,,,,manA2,manA2
722,1p pronoun,*rawA,rawA2,hawA2,rɤwA2,,lawA2,,rawA2,ro:A2 -v
723,one,*nɯ:ŋB,nɯŋB1 -t,nɯŋB2,nɤŋA1 -t,,nɤŋA1/B2,,,nɯŋB2
724,two,*so:ŋA,sɔ:ŋA1,soŋA1,tʰɔ:ŋA1,ɬɔŋA1,ɬo:ŋA1,ɬø/ŋA1,θoŋA1,sɔ:ŋA1
725,three,*sa:m,sa:mA1,sa:mA1,tʰa:mA1,ɬa:mA1,ɬa:mA1,ɬa:mA1,θa:mA1,sa:mA1
726,four,*si:B,si:B1,siB1,tʰi:B1,ɬiB1,ɬi:B1,ɬoyB1,θiB1,si:B1
727,five,*ha:C,ha:C1,ha:C1,ha:C1,ha:C1,ha:C1,ha:C1,haC1,ha:C1
728,six,*krokD,hokDS1,hukDS1,sokDS1,sokDS1,hukDS1,lokDS2,rokDS1,rɔkDS1
729,seven,*cetD,cetDS1,citDS1,cetDS1,cetDS1,citDS1,citDS1,satDS1,cɛtDS1
730,eight,*pe:tD,pɛ:tDL1,petDL1,pɛ:tDL1,pɛtDL1,pe:tDL1,petDL1,petDL1,pe:tDL1
731,nine,*kɤwC,ka:wC1,kawC1,kɤwC1,kawC1,kawC1,kawC1,kuC1,ku:C1
732,"hundred; string, to",*ro:jC,rɔ:jC2,hojC2,rɔ:jC2,,ɬo:jC2,,rojC2,rɔ:jC2
733,"single, only one",*ɗiəwA,diəwA1,,diəwA1,dɛwA1,de:wB1,,dewA1,diəwA1
734,pair,*gu:B,kʰu:B2,,,g̈uB1,ku:B2,,kuB2,
735,"how many, several",*ki:C,ki:B1 -t,kiC1,ki:B2 -t,kiC1,ki:C1,koyC1,ciC1,ki:C1
736,all,*daŋA,tʰaŋ4,tiŋA2 -v,taŋA2,d̤aŋA2,taŋA2,,,tʰɯŋA2 -v
737,"many, much",*ʰla:jA,la:jA1,la:jA1,la:jA1,la:jA1,la:jA1,la:jA1,la:jA1,la:jA1
738,"little, few",*ʰno:jB,nɔ:jB1,,,,,,nojB2 -t,nɔ:jB2 -t
739,"one or so, any",*sakD,sakDS1,,tʰakDS1,ɬakDS1,ɬakDS1,,,sakDS1
740,half,*grɤŋB,kʰrɯŋB2,,,,,,,tʰrɯŋB2
741,"each other, together",*kanA,kanA1,kanA1,kanA1,kanA1,kanA1,,,kinA1 -v
742,other,*ʔɯ:nB,ʔɯ:nB1,,ʔɯ:nB1,,ʔɤnB1,,,ʔɯ:nB1
743,measure from thumb to fingertip,*ɣɯ:pD,kʰɯ:pDL2,xɯpDL2,,,,,hupDS2,(kʰɯ:pDL2 -i -v)
744,"bite (n.), speech",*gamA,khamA2,kamA2,kamA2,g̈amA2,,,,
745,classifier for things,*ʔalA,ʔanA1,,ʔanA1,ɁanA1,ʔanA1,ɁanA1,,ʔalA1
746,"cord, string",*sa:jA,sa:jA1,sa:jA1,tʰa:jA1,ɬa:jA1,ɬa:jA1,ɬa:jA1,θa:jA1,sa:jA1
747,"classifier for long, thin, object",*selC,senC1,,,,,,,sɛlC1
748,classifier for tools,*mwa:kD,,,ma:kDL2,ma:kDL2,ma:kDL2,,fa:kDL2,ma:kDL2
749,litter (of young),*gro:kD,kʰrɔ:kDL2,,,,kjo:kDL2,,cokDL2,rɔ:kDL2
750,time (classifier),*bajA,,,pajA2,,pajA2,pajA2,,
751,name of first month,*ciǝŋA,,ciəŋA1,ciəŋA1,ciǝŋA1,ci:ŋA1,ciŋA1,,ciəŋA1
752,last (year),*kla:jA,kla:jA1,ka:jA1,ca:jA1,ca:jA1,kja:jA1,ka:jA1,,tla:jA1
753,daytime,*ŋwanA,wanA2,vinA2 -v,wanA2,wanA2,vanA2,ɲɤnA2 -v,vanA2,ɲɛnA2
754,night,*ɣɯ:nA,kʰɯ:nA2,xɯnA2,kʰɯnA2,g̈ɯnA2,kɤnA2,hanA2,hɯnA2,ɣɯnA2
755,day,*mwɯ:C,mɯ:C2,mɯC2,mɯ:C2,mɯA2,,,fɯC2,mɯ:C2
756,early morning,*ɟawC,cʰa:wC2,cawC2,cawC2,,cawC2,sawC2,sawC2,
757,night,*ɣamB,kʰamB2,xamB2,kʰamB2,g̈amB2,kamB2,hamB2,hamB2,ɣamB2
758,late at night,*ɗɯkD,dɯkDS1,dɯkDS1,,lɤkDS1 -i,,,dakDS1,dɯkDS1
759,early meal,*ŋa:jA,ŋa:jA2,ŋa:jA2,ŋa:jA2,ŋa:jA2,ŋa:jA2,ŋa:jA2,ŋa:jA2,ŋa:jA2
760,late meal,*C̬.lwi:ŋA,lɛ:ŋA2,leŋA2,lɛ:ŋA2,lɛŋA2,le:ŋA2,lɤŋA2,riŋA2,lɛ:ŋA2
761,evening meal,*ɟm̩.rawA,pʰrawA2,,lɛ:ŋA2,b̤jɤwA2,pjawC2,,sawA2,
762,day before afterday,*zɯ:nA,sɯ:nA2,sɯnA2,tʰɯ:nA2,rɯnA2,ɬinA2,ɬonA1,,
763,yesterday,*ŋwa:A,wa:nA2,ŋwa:A2,ŋwa:A2,ŋwa:A2,va:A2,,,
764,tomorrow,*ɟm̩.rukD,pʰruŋB2 -f,puʔDL1,pjukDL2,,pjukDS2,tokADL2,sokDL2,tʰɔ:k5
765,day after tomorrow,*C̬.rɯ:A,rɯ:nA2 -f,hɯA2,rɯ:A2,lɯA2,lɯ:A2,loyA2,rɯA2,rɯ:A1
766,year,*pi:A,pi:A1,piA1,pi:A1,,pi:A1,poyA1,piA1,pi:A1
767,"upstream, above",*ʰnɯəA,nɯəA1,,nɯəA1,nɯəA1,nɯ:A1,,,
768,"downsteam, below",*taɰC,ta:jC1,taɰC1,taɰC1,tɤɰC1,taɰC1,tajC1 -v,,tɤ:C1
769,below,*lwɤ:ŋB,la:ŋB2,la:ŋB2,la:ŋB2,,la:ŋB2,,,luəŋB2
770,inside,*C̥.daɰA,najA2 -i,,,dɤɰA1,daɰA1,doyA1,daɰA1,rɤ:A1
771,outside,*l̩.no:kD,nɔ:kDL2,noʔDL2,nɔ:kDL2,nɔkDL2,no:kDL2,nokADL2,rokDL2,lɔ:kDL2
772,middle,*kla:ŋA,kla:ŋA1,ka:ŋA1,ca:ŋA1,,kja:ŋA1,ka:ŋA1,ca:ŋA1,tla:ŋA1
773,side,*C̥.bɯǝŋC,bɯǝŋC1,,bɯəŋC1,bɯəŋC1,bɤ:ŋC1,,,viǝŋC1
774,this,*najC,ni:C2 -v,niC2,najC2,nɤjC2,najB2,noyC2,niC2 -v,ni:C2 -v
775,before,*ko:nB,kɔ:nB1,kɤnB1,kɔ:nB1,kɔnB1,ko:nB1,kønB1,konB1,kɔ:nB1
776,"tip, end",*pla:jA,pla:jA1,,pja:jA1,pja:jA1,pja:jA1,,pja:jA1,pla:jA1
777,"tip, highest point",*ɲo:tD,jɔ:tDL2,ɲotDL2,ɲɔ:tDL2,ɲɔtDL2,jo:t6,,,ɲu:tDL2 -v
778,edge,*ri:mA,rimA2,,,rimA2,,,,rimA2
779,"gradually, slowly",*gɔ:jB,kʰɔjB2,kojB2,kɔ:jB2,g̈ɔjB2,ko:jB2,,,
780,not (strong 1),*ɓawB,,,bɤwB1,bɤwB1,bawB1 bo:B1,,bawB1 boB1,bo:B1
781,not (strong 2),*bo:B,bo:B1,boB1,,,bo:B1,,boB1,bo:B1
782,not (weak),*mi:A,miA2,,mi:A2,mi:C1 -t,miB1 -t,miC1 -t,miA2,
783,not yet,*pajB,pajB1,,pajBA1,pajB1,,,,
784,do not,*ʰɲa:B,ja:B1,,,,ja:B1,,"jiəB1, ja:B1",ja:B1
785,which,*ɗaɰA,dajA1,daɰA1,dɤɰA1,dɤɰA1,naɰA2 -i,,,dɤ:A1
786,also,*ko:C,kɔ:C1,koC1,,,,,koC2 -t,
787,"with, and",*kapD,kapDS1,,kapDS1,kapDS1,,,,kapDS1
788,matter,*ɣwa:mA,kʰwa:mA2,,,wa:mA2,va:mA2,,,
