No.,Gloss,PT,Siamese,Sapa,Bao Yen,Cao Bang,Lungchow,Shangsi,Yay,Saek
128,head louse,*trawA,hawA1,hawA1,hɤwA1,tʰɤwA1,hawA1,tʰawA1,rawA1,rawA1
129,tick,*trepD,hepDS1,hipDS1,,tʰepDS1,,tʰitDS1 -f,,ripDS1
130,flea,*ʰmatD,matDS1,matDS1,matDS1,matDS1,matDS1,matDS1,matDS1,matDS1
131,body louse,*m.lelA,lenA2,,mɤnA2,menA2,minA2,mɤnA1,nanA2,mlɛlA2
132,chicken louse,*rwɤjA,rajA2,,,rɤjA2,ɬajA2,loyA2,riA2,ri:A2
133,spider,*krwa:wA,,sawC1,sa:wA1,sa:wA1,kʰja:wA1,ha:wA1 -i,ca:wA1,tʰra:wA1
134,coconut grub,*ɗuəŋC,duəŋC1,duəŋC1,duəŋC1,duəŋC1,,,duŋC2,duəŋC1
135,stink bug,*ge:ŋ1,kʰɛ:ŋA2,,kɛ:ŋA2,g̈ɛŋA2,ke:ŋA2,,keŋA2,
136,caterpillar,*C̥.boŋC,buŋC1,buŋC1,boŋC1,,,boŋC1,,vɔŋC2
137,silkworm,*mo:nC,,monC2,mɔ:nC2,mɔnC2,mu:nC2,,,
138,butterfly,*ɓɤ:j,,bɯC1,bɯəC1,bɯəC1,,,ba:C2,ba:C1
139,centipede,*q.sipD,kʰepDS1,xipDS1,kʰopDS1,kʰepDS1,kʰipDS1,litDS1 -f,θipDS1,
140,cockroach,*sa:pD,sa:pDL1,,,ɬa:pDL1,ɬa:pDL1,ɬa:pDL1,,sa:pDL1
141,horn,*qawA,kʰawA1,,sawA1,,,,kawA1,kawA1
142,"tusk, ivory",*ŋa:A,ŋa:A2,ŋa:A2,ŋa:A2,ɲa:A2,,ŋa:A2,ŋaA2,ŋa:A2
143,wing (1),*wɯətD,,,,,,,fɯətDL2,viətDL2
144,wing (2),*pi:kD,pi:kDL1,,pi:kDL1,pikDL2,pikDL1,pikDL1,,
145,tail,*trwɤ:ŋA,ha:ŋA1,ha:ŋA1,ha:ŋA1,,ha:ŋA1,tʰyŋA1,rɯəŋA1,ruəŋA1
146,fish scales,*klecC,klet2,kitA2,kɤtA2,kepDS1 -f,kitB1,kipDS1 -f,cipC1 -f,tlɛkA2
147,fishbone,*ka:ŋC,ka:ŋC1,ka:ŋC1,,ka:ŋC1,,ka:ŋC1,,ka:ŋC1
148,egg,*qraj,kʰaj2,sajB1,kʰajB1,sajB1 -v,kʰjajB1,lajB1,cajB1,
149,gizzard,*p.taɰA,tajA1,taɰA1,pʰɤɰA1,tʰɤjA1,,toyA1,taɰA1,tɤ:A1
150,cockscomb,*ho:nA,ŋɔ:nA1,honA1,hɔ:nA1,hɔnA1,ho:nA1,hønA1,,hɔ:nA1
151,cockspur,*t.nɤ:jA,dɯəjA1,dɯA1,dɯəA1,dɯəA1,,,daA1,tra:A1
152,hump of an ox,*ʰno:kD,nɔ:kDL1,,,nɔkDL1,,,nokDL1,nɔ:kDL1
153,stinger (of a bee),*lajA,najA2 -i,lajA2,,lɤjA2,,,lajA2,lajA2
,C. Plants,,,,,,,,,
154,"tree, wood",*mwajC,ma:jC2,majC2,majC2 -v,maj C2 -v,majC2,majC2,majC2 -i,majC2
155,leaf,*ɓaɰA,bajA1,baɰA1,bɤɰA1,bɤɰA1,baɰA1,boyA1,baɰA1,bɤ:A1
156,big leaf for wrapping,*k.to:ŋA,tɔ:ŋA1,toŋA1,tɔ:ŋA1,tɔŋA1,to:ŋA1,tʰøŋA1,roŋA1,rɔ:ŋA1
157,flower,*ɓlo:kD,dɔ:kDL1,boʔDL1,bjɔ:kDL1,bjɔkDL1,bjo:k5,bokDL1,dokDL1,blɔ:kDL1
158,banana blossom,*pli:A,pli:A1,piA1,pi:A1,,pi:A1,,,pli:A1
159,stem,*ka:nC,ka:nC1,ka:nC1,,,,,ka:nC1,ka:nC1
160,"peel, bark",*plɯəkD,plɯəkDL1,pɯʔDL1,,pɯəkDL1,pɤ:kDL1,,,pla:kDL1 -v
161,husk,*ka:pD,ka:pDL1,ka:pDL1,ka:pDL1,,,,ka:pDL1,ka:pDL1
162,thorn,*ʰna:mA,na:mA1,na:mA1,na:mA1,na:mA1,na:mA1,na:mA1,,
163,fruit,*ʰma:kD,ma:kDL1,maʔDL1,ma:kDL1,ma:kDL1,ma:kDL1,ma:kDL1,ma:kDL1,ma:kDL1
164,"sheath, pod",*q.wakD,fakDS1,,pʰakDS1,pʰakDS1,,pʰakDS1,hokDS1,vakDS1
165,grain,*m.lecD,metDS2,mitDS2,mjetDS2,,,,natDS2,mlɛkDS2
166,stump,*to:A,tɔ:A1,,tɔ:A1,tɔA1,tɔ:A1,,,
167,root,*C̬.ra:kD,ra:kDL2,haʔDL2,ra:kDL2,la:kDL2,la:kDL2,,ra:kDL2,ra:kDL1
168,clump (as of bamboo),*ko:A,kɔ:A1,koA1,kɔ:A1,kɔA1,ko:A1,køA1,koA1,
169,"sprout, shoot",*ʰno:B,nɔ:B1,noB1,nɔ:B1,nɔB1,no:B1,nøB1,,
170,bamboo shoot,*r.na:ŋA,,,,,,,ra:ŋA2,na:ŋA2
171,ear (of rice),*rwɯ:ŋA,ruəŋA2,,ruəŋA2,ruəŋA2,ɬu:ŋA2,luŋA2,,ruəŋA2
172,rice,*C̬.qawC,kʰa:wC1,xawC1,kʰɤwC1,kʰ.ɤwC1,kʰawC1,hawC2,hawC2,ɣawC2
173,rice seedling,*kla:C,kla:C1,ca:C1,ca:C1,ca:C1,kja:C1,ka:C1,caC1,tla:C1
174,husked rice,*sa:lA,sa:nA2,sa:nA1,tʰa:nA1,ɬa:nA1,ɬa:nA1,,θa:nA1,sa:lA1
